q1,q2,q3,q4,q5,q6
-0.0033352,-0.053541,-0.023527,-0.027376,2.6815,0.1175
-0.0034624,-0.053532,-0.023588,-0.027083,2.6908,0.11876
-0.0035903,-0.053522,-0.023648,-0.02678,2.7002,0.12002
-0.0037186,-0.053513,-0.023706,-0.026468,2.7095,0.12129
-0.0038475,-0.053503,-0.023764,-0.026146,2.7188,0.12256
-0.003977,-0.053494,-0.02382,-0.025815,2.7281,0.12385
-0.003977,-0.053494,-0.02382,-0.025815,2.7281,0.12385
-0.0044528,-0.053459,-0.024014,-0.024525,2.762,0.12859
-0.004935,-0.053424,-0.024192,-0.023098,2.7959,0.13344
-0.0054228,-0.053389,-0.024353,-0.02153,2.8298,0.13838
-0.0059157,-0.053355,-0.024498,-0.019815,2.8637,0.14341
-0.0064132,-0.05332,-0.024625,-0.017948,2.8975,0.14854
-0.0069147,-0.053285,-0.024735,-0.015924,2.9314,0.15376
-0.0074195,-0.05325,-0.024828,-0.013738,2.9652,0.15907
-0.0079271,-0.053216,-0.024904,-0.011384,2.9991,0.16448
-0.0084368,-0.053181,-0.024962,-0.0088555,3.0329,0.16998
-0.0089481,-0.053146,-0.025003,-0.0061478,3.0667,0.17558
-0.0094603,-0.053111,-0.025026,-0.0032542,3.1005,0.18127
-0.0099729,-0.053077,-0.025031,-0.00016836,3.1342,0.18706
-0.010485,-0.053042,-0.025019,-0.0030531,-3.1036,-0.18903
-0.010997,-0.053007,-0.02499,-0.0063339,-3.0694,-0.19071
-0.011507,-0.052973,-0.024943,-0.0096723,-3.0352,-0.19232
-0.012015,-0.052938,-0.024878,-0.013067,-3.001,-0.19386
-0.01252,-0.052903,-0.024797,-0.016516,-2.9668,-0.19534
-0.013022,-0.052868,-0.024697,-0.020018,-2.9326,-0.19673
-0.01352,-0.052834,-0.024581,-0.023571,-2.8984,-0.19806
-0.014014,-0.052799,-0.024448,-0.027174,-2.8642,-0.19932
-0.014503,-0.052765,-0.024298,-0.030826,-2.83,-0.2005
-0.014986,-0.05273,-0.024132,-0.034524,-2.7958,-0.20161
-0.015463,-0.052695,-0.023949,-0.038268,-2.7616,-0.20264
-0.015934,-0.052661,-0.02375,-0.042056,-2.7274,-0.2036
-0.016397,-0.052626,-0.023535,-0.045887,-2.6932,-0.20448
-0.016852,-0.052592,-0.023304,-0.049759,-2.6591,-0.20529
-0.017299,-0.052557,-0.023058,-0.053671,-2.6249,-0.20602
-0.017737,-0.052522,-0.022797,-0.057621,-2.5907,-0.20667
-0.018166,-0.052488,-0.022521,-0.061608,-2.5565,-0.20725
-0.018585,-0.052453,-0.022231,-0.065631,-2.5223,-0.20774
-0.018993,-0.052419,-0.021926,-0.069688,-2.4882,-0.20816
-0.019391,-0.052384,-0.021608,-0.073778,-2.454,-0.2085
-0.019777,-0.05235,-0.021277,-0.077899,-2.4198,-0.20876
-0.020152,-0.052315,-0.020932,-0.08205,-2.3856,-0.20894
-0.020514,-0.052281,-0.020576,-0.08623,-2.3515,-0.20903
-0.020864,-0.052247,-0.020207,-0.090437,-2.3173,-0.20905
-0.021201,-0.052212,-0.019826,-0.094669,-2.2832,-0.20898
-0.021525,-0.052178,-0.019435,-0.098927,-2.249,-0.20883
-0.021835,-0.052143,-0.019032,-0.10321,-2.2149,-0.2086
-0.02213,-0.052109,-0.01862,-0.10751,-2.1807,-0.20828
-0.022412,-0.052075,-0.018197,-0.11183,-2.1466,-0.20788
-0.022678,-0.05204,-0.017766,-0.11617,-2.1124,-0.2074
-0.022929,-0.052006,-0.017326,-0.12053,-2.0783,-0.20683
-0.023166,-0.051972,-0.016878,-0.12491,-2.0441,-0.20617
-0.023386,-0.051937,-0.016422,-0.12929,-2.01,-0.20543
-0.023591,-0.051903,-0.015959,-0.1337,-1.9759,-0.2046
