,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:
34,34,1711721771.138971,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
35,35,1711721772.1455193,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
36,36,1711721773.149155,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
37,37,1711721774.154624,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
38,38,1711721775.1592784,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
39,39,1711721776.1650765,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
40,40,1711721777.17065,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
41,41,1711721778.1754887,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
42,42,1711721779.1806605,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
43,43,1711721780.1862051,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
44,44,1711721781.1914642,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
45,45,1711721782.1968107,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
46,46,1711721783.202226,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
47,47,1711721784.207291,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
48,48,1711721785.2124107,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
49,49,1711721786.217396,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
50,50,1711721787.2224832,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
